# $Id: read2.dat,v 1.5 2010/06/10 19:42:40 bzfkocht Exp $
DbemYrJkekDyrxmZZuXvCztT	1464700470,0.932470, 223139274;-789471623; -1699807895:1927028692: 1470542478 1114139353 1.09911:0.575962 831492440 "dzJWJ, LOg"[ ok?
sYZznzGKrLLKnTNYrmagNZbz	901121857,1.101813, 1475188595;-1363237345; -1850415153:1453564973: 2117131852 1125080688 1.10712:4.61114 164029565 "nZOiDxL, iRGH"[ ok?
rXexNAqcrOVCjxQLAdGwLsQo	1765031311,1.200740, 1902574381;-872125302; -1246737513:1225510207: 1512681883 1223406074 2.44857:2.58975 648702147 "hzRCg, NaMAaXz"[ ok?
dPguIQKkAcKBCZiMjgjIBffE	133915503,4.320406, 806328518;-761444896; -1665687192:1626987333: 1624813130 638903608 2.00343:0.879227 928395650 "wfXz, SRT"[ ok?
EWVUubMnOXlkMQocUjpncQSR	1369185072,0.505984, 1822060284;-504391; -581496129:1392590074: 1664984401 1836074602 4.92255:3.46839 227474611 "MNqf, GiBWru"[ ok?
ywxkabVFgXytJunlibrkmfkA	1655484423,2.631265, 443868839;-1179148974; -254002319:663953196: 1753324112 1299014983 4.93599:1.20125 1983671210 "yvdxL, neohXhtyLTJ"[ ok?
tflMvljPVVGOoHakwmqaOFhU	1653928963,1.295018, 2055711690;-1487548724; -91766661:2052174183: 1761097638 885236730 0.531865:0.393992 398653970 "mjkyanj, jgLDGjnR"[ ok?
pjKpOUDcwJJchEPGeAuWnYgJ	1911788911,1.431708, 9948641;-643640925; -1559138993:348659080: 1466516772 1602730468 0.382657:0.853188 1208230654 "nltGnsES, XWreGoYCqoP"[ ok?
hovMesUTBUUDExIVPiyOGqGe	380957511,0.960825, 1633806477;-1969982497; -299275980:1068058867: 1561063672 705752692 4.38928:8.9267 1161530872 "SxguLNAT, ykUHXQpd"[ ok?
WRrKwiDjDaFsBZWsXRdJdZoa	1266473526,0.031327, 1475174443;-1415975022; -845147328:39133252: 1519956612 148139633 0.231184:20.0524 549639594 "kCBB, JDBO"[ ok?
WZWLyDHDQjunocTxfEUfsqAn	1632799790,11.126522, 1404141630;-391780070; -2136907151:367690630: 1091107258 951911541 1.26694:3.54103 1725435687 "QHXKbd, abK"[ ok?
huJWNwdKltUSAPmBICoYqLeb	1602984272,0.207851, 294682362;-70489911; -759780751:263599648: 472012367 1087878519 0.220718:0.548641 1518919500 "LySYt, Px"[ ok?
QOvKiHPHxIRVoqzwriNKBdTF	1311345792,1.091785, 593977430;-1445723168; -1596900771:2121484200: 136682982 91958014 1.83602:0.703409 1604798853 "kcDFipCt, FMu"[ ok?
IvoEbtgXWanKIkPfmfdmrlDF	811294833,3.404565, 740791592;-2104348125; -1499576489:2106018146: 80844767 1284557986 0.805916:1.10002 1579305904 "wLCrh, ry"[ ok?
WUOorqKiuRHkACsViNmuzWNm	118853963,4.245847, 1805978813;-1132900439; -680259595:670297586: 1585535090 1389378716 1.13094:0.697376 279799094 "lMJhTeoL, TxL"[ ok?
VOCYonuFJvjpKKSPrRcsZOuH	936684310,0.143649, 448791405;-705635130; -433223688:249649305: 1845163249 766223022 0.779136:1.59996 602572665 "uThsjOYI, hAy"[ ok?
